model,experiment,uncertainty,rouge,ifhr,wle,temperature,task,model_type
llama31,en_en_en,2.364165573507719,0.3374294089085597,0.0036199095022624436,0.052628950776248545,1.0,WTI - CQA,MLLM
llama31,en_en_th,6.833753526302812,0.11000401716635473,0.23908382066276804,0.8850359625593427,1.0,WTI - CQA,MLLM
llama31,en_th_en,4.827369565022176,0.024602825636924917,0.97190717688643,0.1888042186326855,1.0,WTI - CQA,MLLM
llama31,en_th_th,2.6870862546699255,0.37662747935643737,0.022329798678346398,0.17830670795523534,1.0,WTI - CQA,MLLM
llama31,th_en_en,2.1515124330233593,0.3567689247073393,0.02166741640425851,0.11752164096437756,1.0,WTI - CQA,MLLM
llama31,th_en_th,6.21343086205729,0.12386775688008902,0.21910706252811518,0.7796817198731154,1.0,WTI - CQA,MLLM
llama31,th_th_en,4.798921267270186,0.030372197259068083,0.9617642538804365,0.1718397071865982,1.0,WTI - CQA,MLLM
llama31,th_th_th,2.5331329426281264,0.38450083882217984,0.02020900568618411,0.16091124656387198,1.0,WTI - CQA,MLLM
llama3,en_en_en,2.4772904569953176,0.4003584101399578,0.00025220680958385876,0.06601947123430486,1.0,WTI - SUM,Base
llama3,en_en_th,5.097400623316552,0.09870520787369619,0.6146279949558637,0.6168837336475494,1.0,WTI - SUM,Base
llama3,en_th_en,2.8814658540349267,0.3747519655864534,0.0003783102143757882,0.06250346251262752,1.0,WTI - SUM,Base
llama3,en_th_th,4.420246193556663,0.23808395758525705,0.3736443883984868,0.4216995684973219,1.0,WTI - SUM,Base
llama3,th_en_en,2.5455046038126605,0.38935278237939436,0.0003783102143757882,0.06511491972771516,1.0,WTI - SUM,Base
llama3,th_en_th,4.7486058446045245,0.18896159355045922,0.23568726355611602,0.6238777109221488,1.0,WTI - SUM,Base
llama3,th_th_en,3.0698046051962753,0.36107567943515556,0.0005044136191677175,0.060921000883752977,1.0,WTI - SUM,Base
llama3,th_th_th,3.749034812009661,0.34668388750848445,0.1626733921815889,0.32704547354994823,1.0,WTI - SUM,Base
qwen15,en_en_en,4.9362001765598995,0.28494259228955865,0.05245901639344262,0.13758563917502425,1.0,WTI - SUM,Base
qwen15,en_en_th,6.135314568752459,0.028978767133972256,0.9443883984867592,0.3680473388886484,1.0,WTI - SUM,Base
qwen15,en_th_en,8.464022485565573,0.11633709118708702,0.4735182849936948,0.5461226306017634,1.0,WTI - SUM,Base
qwen15,en_th_th,8.145481900806683,0.037351917593165196,0.8291298865069356,0.6450530081435082,1.0,WTI - SUM,Base
qwen15,th_en_en,7.948586194991298,0.1502972426108575,0.36406052963430013,0.6595375184644877,1.0,WTI - SUM,Base
qwen15,th_en_th,7.638836297223455,0.0335318825679319,0.7715006305170239,0.7170103208329972,1.0,WTI - SUM,Base
qwen15,th_th_en,9.091097783927744,0.07016915665262295,0.5783102143757882,0.7637226854598776,1.0,WTI - SUM,Base
qwen15,th_th_th,8.212845780170996,0.05285125097633039,0.6418663303909206,0.8106548398164789,1.0,WTI - SUM,Base
qwen25,en_en_en,5.11767155083367,0.28737225955123585,0.0694829760403531,0.12278756448607944,1.0,WTI - SUM,Base
qwen25,en_en_th,6.843708090610089,0.10592877398226987,0.416015132408575,0.4195646426648956,1.0,WTI - SUM,Base
qwen25,en_th_en,8.46954908123367,0.07449938972324086,0.8824716267339218,0.4554057403032495,1.0,WTI - SUM,Base
qwen25,en_th_th,5.656532877918033,0.23487791545820932,0.10025220680958385,0.44004052436097957,1.0,WTI - SUM,Base
qwen25,th_en_en,8.447424444510466,0.11823715134943254,0.7902900378310215,0.5171885220364795,1.0,WTI - SUM,Base
qwen25,th_en_th,6.237345258077427,0.15783686516506937,0.15485498108448928,0.4823705937479603,1.0,WTI - SUM,Base
qwen25,th_th_en,8.624521294472762,0.089827116905599,0.8402269861286255,0.5427432028920208,1.0,WTI - SUM,Base
qwen25,th_th_th,5.876982405795586,0.21284913937747796,0.09041614123581337,0.4691686772364889,1.0,WTI - SUM,Base
otg,en_en_en,3.6914903575179485,0.2432746630145676,0.023833543505674657,0.1422335955744092,1.0,WTI - SUM,CPT
otg,en_en_th,4.590226027448725,0.2340525076344101,0.1727896875437859,0.9154195598749354,1.0,WTI - SUM,CPT
otg,en_th_en,6.3428292574360725,0.1936052796228594,0.7453411797674092,0.8720049651360952,1.0,WTI - SUM,CPT
otg,en_th_th,4.001315827698367,0.3051902367580556,0.1320582877959927,0.7914655526788663,1.0,WTI - SUM,CPT
otg,th_en_en,4.4580370981428565,0.2693865436969575,0.44342160571668765,0.8726754983292347,1.0,WTI - SUM,CPT
